date,namespace,cpu_used
2022-01-01,alpha,243.63502971184062
2022-01-02,alpha,387.67857660247904
2022-01-03,alpha,332.99848545285124
2022-01-04,alpha,299.66462104925915
2022-01-05,alpha,189.00466011060914
2022-01-06,alpha,188.99863008405066
2022-01-07,alpha,164.52090304204987
2022-01-08,alpha,366.54403644373383
2022-01-09,alpha,300.27875293580223
2022-01-10,alpha,327.0181444490114
2022-01-11,alpha,155.1461235739506
2022-01-12,alpha,392.4774630404986
2022-01-13,alpha,358.11066020010543
2022-01-14,alpha,203.08477766956904
2022-01-15,alpha,195.45624180177515
2022-01-16,alpha,195.85112746335847
2022-01-17,alpha,226.06056073988444
2022-01-18,alpha,281.18910790805944
2022-01-19,alpha,257.98625466052897
2022-01-20,alpha,222.80728504951048
2022-01-21,alpha,302.96322368059487
2022-01-22,alpha,184.87346516301045
2022-01-23,alpha,223.03616213380454
2022-01-24,alpha,241.59046082342292
2022-01-25,alpha,264.01749605425897
2022-01-26,alpha,346.2939903482534
2022-01-27,alpha,199.91844553958992
2022-01-28,alpha,278.55860960340294
2022-01-29,alpha,298.1036422155106
2022-01-30,alpha,161.61260317999944
2022-01-31,alpha,301.8862129753596
2022-02-01,alpha,192.63103092182288
2022-02-02,alpha,166.26289824631988
2022-02-03,alpha,387.2213843133333
2022-02-04,alpha,391.40800826863983
2022-02-05,alpha,352.0993370291153
2022-02-06,alpha,226.15344229334266
2022-02-07,alpha,174.41802850159596
2022-02-08,alpha,321.0582566280392
2022-02-09,alpha,260.03812343490034
2022-02-10,alpha,180.5095587111947
2022-02-11,alpha,273.79422752781755
2022-02-12,alpha,158.5971302788046
2022-02-13,alpha,377.3301005196955
2022-02-14,alpha,214.69499540000425
2022-02-15,alpha,315.63057108849546
2022-02-16,alpha,227.92776902235272
2022-02-17,alpha,280.0170052944527
2022-02-18,alpha,286.6775698358199
2022-02-19,alpha,196.21361388138178
2022-02-20,alpha,392.3961569411397
2022-02-21,alpha,343.78320584027864
2022-02-22,alpha,384.87473539104724
2022-02-23,alpha,373.70683760691225
2022-02-24,alpha,299.47499470277126
2022-02-25,alpha,380.4685587557792
2022-02-26,alpha,172.12312551297987
2022-02-27,alpha,198.9957156047863
2022-02-28,alpha,161.3068222276345
2022-03-01,alpha,231.33258269081608
2022-03-02,alpha,247.1693224223705
2022-03-03,alpha,217.83725794347396
2022-03-04,alpha,357.18437728798233
2022-03-05,alpha,239.18833167339733
2022-03-06,alpha,220.2336274218452
2022-03-07,alpha,285.6740207895621
2022-03-08,alpha,185.23105624369066
2022-03-09,alpha,350.54924518850993
2022-03-10,alpha,168.6376609199427
2022-03-11,alpha,396.72173415012935
2022-03-12,alpha,343.0611923241644
2022-03-13,alpha,199.6789203835431
2022-03-14,alpha,151.3805292809006
2022-03-15,alpha,353.86535711370857
2022-03-16,alpha,326.7143359619043
2022-03-17,alpha,332.25179201024685
2022-03-18,alpha,342.8175866714864
2022-03-19,alpha,168.5111629335226
2022-03-20,alpha,239.61643213606817
2022-03-21,alpha,178.96726488128243
2022-03-22,alpha,365.7758564688984
2022-03-23,alpha,305.8245317068895
2022-03-24,alpha,232.7245062131623
2022-03-25,alpha,165.8895875715059
2022-03-26,alpha,227.74558042891556
2022-03-27,alpha,231.29583050668674
2022-03-28,alpha,332.40154458451605
2022-03-29,alpha,309.3893678388033
2022-03-30,alpha,371.8031856440816
2022-03-31,alpha,268.05373129048735
2022-04-01,alpha,179.89856148457542
2022-04-02,alpha,328.31119680574875
2022-04-03,alpha,340.19626215422437
2022-04-04,alpha,290.3192993923741
2022-04-05,alpha,342.7417949886402
2022-04-06,alpha,273.4488990910977
2022-04-07,alpha,280.68320734549854
2022-04-08,alpha,256.8852545896374
2022-04-09,alpha,156.35478168602378
2022-04-10,alpha,176.9728567483261
2022-04-11,alpha,157.85729642168357
2022-04-12,alpha,309.1026028159451
2022-04-13,alpha,228.58899526908166
2022-04-14,alpha,277.1426727911757
2022-04-15,alpha,376.89161848152327
2022-04-16,alpha,212.32305728721875
2022-04-17,alpha,252.59573075890745
2022-04-18,alpha,338.88778463576216
2022-04-19,alpha,207.19954137290563
2022-04-20,alpha,169.24497745719825
2022-04-21,alpha,222.437863228442
2022-04-22,alpha,190.3053218135011
2022-04-23,alpha,382.42441308564327
2022-04-24,alpha,352.0300948911042
2022-04-25,alpha,308.3509391276059
2022-04-26,alpha,367.8651475469294
2022-04-27,alpha,350.9180192247786
2022-04-28,alpha,196.64251472150897
2022-04-29,alpha,373.13974962249443
2022-04-30,alpha,284.83556047891267
2022-05-01,alpha,351.86003879101565
2022-05-02,alpha,374.02282498087334
2022-05-03,alpha,229.50086874296596
2022-05-04,alpha,177.5129811319192
2022-05-05,alpha,206.98379063548543
2022-05-06,alpha,256.77694715656406
2022-05-07,alpha,354.5036914806233
2022-05-08,alpha,365.18264581408584
